,game_id,game_period_number,game_fight_number,game_time_of_fight,away_score_at_fight,home_score_at_fight,home_fighter_id,away_fighter_id,home_fighter_name,away_fighter_name,away_corsi_at_fight,away_fenwick_at_fight,home_corsi_at_fight,home_fenwick_at_fight,away_corsi_after_2,away_fenwick_after_2,home_corsi_after_2,home_fenwick_after_2,away_corsi_after_5,away_fenwick_after_5,home_corsi_after_5,home_fenwick_after_5,away_corsi_after_10,away_fenwick_after_10,home_corsi_after_10,home_fenwick_after_10,away_corsi_until_eop,away_fenwick_until_eop,home_corsi_until_eop,home_fenwick_until_eop,away_corsi_until_eog,away_fenwick_until_eog,home_corsi_until_eog,home_fenwick_until_eog,away_corsi_until_next_fight,away_fenwick_until_next_fight,home_corsi_until_next_fight,home_fenwick_until_next_fight
0,2021020230,1,1,4,0,0,8474034,8465009,Patrick Maroon,Zdeno Chara,0,0,0,0,0.016666667,0.008333333,0.008333333,0.008333333,0.01,0.006666667,0.01,0.01,0.006666667,0.003333333,0.011666667,0.01,0.010033445,0.007525084,0.016722408,0.012541806,0.013070078,0.010011123,0.014738598,0.011401557,0.013691684,0.010649087,0.015212982,0.011156187
0,2021020230,2,2,1976,1,2,8478519,8475754,Anthony Cirelli,Brock Nelson,0.013663968,0.01062753,0.015182186,0.011133603,0.008333333,0.008333333,0,0,0.01,0.003333333,0.003333333,0.003333333,0.018333333,0.015,0.006666667,0.003333333,0.011792453,0.007075472,0.004716981,0.002358491,0.012315271,0.009236453,0.014162562,0.011699507,,,,
0,2021020232,1,1,886,0,1,8477941,8477446,Nick Ritchie,Michael McCarron,0.011286682,0.006772009,0.019187359,0.019187359,0.033333333,0.025,0.008333333,0,0.026666667,0.02,0.016666667,0.01,0.028333333,0.02,0.02,0.015,0.031847134,0.025477707,0.015923567,0.00955414,0.015843773,0.011053795,0.016949153,0.013633014,,,,
0,2021020233,3,1,2460,1,5,8475462,8475151,Radko Gudas,Kyle Palmieri,0.011382114,0.010162602,0.019512195,0.015447154,0,0,0.008333333,0.008333333,0.02,0.02,0.01,0.003333333,0.011666667,0.01,0.011666667,0.006666667,0.009649123,0.007894737,0.011403509,0.007894737,0.009649123,0.007894737,0.011403509,0.007894737,,,,
0,2021020235,2,1,1402,1,1,8471817,8479543,Ryan Reaves,Michael Pezzetta,0.016405136,0.012838802,0.022824536,0.018544936,0.008333333,0.008333333,0.041666667,0.033333333,0.013333333,0.013333333,0.023333333,0.016666667,0.01,0.01,0.023333333,0.011666667,0.014028056,0.013026052,0.023046092,0.012024048,0.015468608,0.013648772,0.019563239,0.011828935,0.015468608,0.013648772,0.019563239,0.011828935
0,2021020235,3,2,3600,2,3,8476885,8476981,Jacob Trouba,Josh Anderson,0.015833333,0.013333333,0.020833333,0.014444444,,,,,,,,,,,,,,,,,,,,,,,,
0,2021020237,3,1,3107,2,1,8479944,8477462,Zach Aston-Reese,Robert Hagg,0.01158674,0.006758931,0.018023817,0.016414548,0.008333333,0.008333333,0,0,0.01,0.003333333,0.01,0.006666667,0.012170385,0.006085193,0.014198783,0.010141988,0.012170385,0.006085193,0.014198783,0.010141988,0.012170385,0.006085193,0.014198783,0.010141988,,,,
0,2021020240,1,1,328,0,0,8478413,8478136,Jordan Greenway,Jake Middleton,0.00304878,0.00304878,0.018292683,0.009146341,0.033333333,0.033333333,0.008333333,0.008333333,0.023333333,0.02,0.013333333,0.003333333,0.018333333,0.016666667,0.01,0.005,0.017201835,0.014908257,0.009174312,0.005733945,0.014669927,0.009168704,0.012530562,0.010391198,0.016766467,0.013772455,0.010778443,0.008383234
0,2021020240,2,2,1998,3,1,8475220,8479981,Marcus Foligno,#N/A,0.014514515,0.012012012,0.012012012,0.008508509,0,0,0.016666667,0.016666667,0.003333333,0.003333333,0.013333333,0.013333333,0.01,0.003333333,0.016666667,0.013333333,0.007462687,0.002487562,0.019900498,0.019900498,0.012484395,0.004369538,0.014357054,0.012484395,,,,
0,2021020246,3,1,2569,2,0,8476826,8479337,Yanni Gourde,Alex DeBrincat,0.012845465,0.00778513,0.011677696,0.009342156,0,0,0.008333333,0.008333333,0.006666667,0.003333333,0.006666667,0.006666667,0.008333333,0.005,0.016666667,0.013333333,0.013579049,0.004849661,0.022308438,0.020368574,0.013579049,0.004849661,0.022308438,0.020368574,,,,
